id,ags,res_up_to_14,res_total,res_from_14,gen
0,08115001,1270,9003,7733,Aidlingen
1,08115002,763,4662,3899,Altdorf
2,08115003,7678,50161,42483,Böblingen
3,08115004,933,6072,5139,Bondorf
4,08115010,503,3328,2825,Deckenpfronn
5,08115013,1478,9142,7664,Ehningen
6,08115015,2067,12593,10526,Gärtringen
7,08115016,1363,9314,7951,Gäufelden
8,08115021,4679,31738,27059,Herrenberg
9,08115022,486,3577,3091,Hildrizhausen
10,08115024,2247,13247,11000,Holzgerlingen
11,08115028,6879,48848,41969,Leonberg
12,08115029,1486,9711,8225,Magstadt
13,08115034,573,3693,3120,Mötzingen
14,08115037,830,5842,5012,Nufringen
15,08115041,2892,18487,15595,Renningen
16,08115042,1754,10912,9158,Rutesheim
17,08115044,1625,10721,9096,Schönaich
18,08115045,9648,64905,55257,Sindelfingen
19,08115046,962,6490,5528,Steinenbronn
20,08115048,1265,8742,7477,Waldenbuch
21,08115050,2852,19220,16368,Weil der Stadt
22,08115051,1395,10059,8664,Weil im Schönbuch
23,08115052,1093,7581,6488,Weissach
24,08115053,1277,7991,6714,Jettingen
25,08115054,932,6768,5836,Grafenau
26,08116004,834,6063,5229,Altbach
27,08116005,278,1711,1433,Altdorf
28,08116006,295,1966,1671,Altenriet
29,08116007,847,5750,4903,Baltmannsweiler
30,08116008,495,3524,3029,Bempflingen
31,08116011,451,3689,3238,Beuren
32,08116012,465,3429,2964,Bissingen an der Teck
33,08116014,868,6925,6057,Deizisau
34,08116015,1573,11149,9576,Denkendorf
35,08116016,913,6149,5236,Dettingen unter Teck
36,08116018,340,2191,1851,Erkenbrechtsweiler
37,08116019,13070,94145,81075,Esslingen am Neckar
38,08116020,1292,9130,7838,Frickenhausen
39,08116022,616,4412,3796,Großbettlingen
40,08116027,705,4756,4051,Hochdorf
41,08116029,345,2296,1951,Holzmaden
42,08116033,5689,40783,35094,Kirchheim unter Teck
43,08116035,1352,9819,8467,Köngen
44,08116036,341,2308,1967,Kohlberg
45,08116037,447,2719,2272,Lichtenwald
46,08116041,540,3883,3343,Neckartailfingen
47,08116042,891,6454,5563,Neckartenzlingen
48,08116043,253,1803,1550,Neidlingen
49,08116046,820,6260,5440,Neuffen
50,08116047,1761,11849,10088,Neuhausen auf den Fildern
51,08116048,455,3637,3182,Notzingen
52,08116049,5608,41223,35615,Nürtingen
53,08116050,727,5534,4807,Oberboihingen
54,08116053,250,1746,1496,Ohmden
55,08116054,496,3407,2911,Owen
56,08116056,2129,14551,12422,Plochingen
57,08116058,1097,8468,7371,Reichenbach an der Fils
58,08116063,294,1947,1653,Schlaitdorf
59,08116068,672,4858,4186,Unterensingen
60,08116070,1359,10326,8967,Weilheim an der Teck
61,08116071,2178,16227,14049,Wendlingen am Neckar
62,08116072,1690,12303,10613,Wernau (Neckar)
63,08116073,874,6375,5501,Wolfschlugen
64,08116076,894,7554,6660,Aichwald
65,08116077,6340,46083,39743,Filderstadt
66,08116078,5652,40165,34513,Leinfelden-Echterdingen
67,08116079,1135,8252,7117,Lenningen
68,08116080,6057,39312,33255,Ostfildern
69,08116081,1419,9893,8474,Aichtal
